,point_differential,home_offensive_efficiency,away_offensive_efficiency,home_defensive_efficiency,away_defensive_efficiency
374,4,114.0639698965193,112.48185776487662,109.36030103480716,117.31978713110787
375,11,101.98135198135199,85.85564610011642,85.95571095571096,101.86263096623982
376,21,113.22463768115942,79.50530035335689,81.5217391304348,110.42402826855124
378,9,97.3360655737705,88.25079030558483,85.8094262295082,100.10537407797682
379,-5,82.79914529914531,96.31972397929844,89.47649572649573,89.13168487636572
380,8,101.22699386503066,84.0092699884125,88.95705521472392,95.59675550405561
383,16,116.73151750972764,87.71929824561403,90.79118028534371,112.78195488721805
384,5,103.63520408163265,100.33444816053512,95.66326530612244,108.69565217391303
386,17,104.85651214128036,81.76274944567628,81.40176600441501,105.32150776053216
389,30,115.75306013837148,74.41253263707573,75.8382118147951,113.57702349869452
391,13,107.78275475923853,86.16047388260635,89.58566629339306,103.66182014001078
394,11,98.37601499063085,78.4550392275196,81.19925046845721,95.05129752564876
396,-4,109.02948402948402,111.94029850746267,115.17199017199016,105.97014925373134
397,16,127.00534759358288,106.00706713780919,100.26737967914438,134.2756183745583
398,-8,92.09645010046886,105.35117056856187,105.49229738780978,91.9732441471572
399,5,100.28248587570623,92.33351986569669,93.22033898305085,99.32848349188583
402,1,105.70469798657717,102.10803689064558,104.02684563758389,103.75494071146245
403,16,126.72811059907833,96.39696586599241,100.39499670836076,121.68141592920354
405,1,99.94033412887828,102.67579340385812,98.44868735083531,104.23148724331051
410,18,110.03236245954693,79.41550190597204,80.90614886731392,108.00508259212198
414,13,97.5473801560758,86.99633699633699,79.43143812709029,106.83760683760684
415,-3,106.11510791366908,104.44743935309972,111.51079136690647,99.39353099730458
417,-14,73.78777231201687,101.15606936416187,98.38369641602249,75.86705202312139
418,4,109.81912144702841,93.185789167152,103.35917312661498,99.009900990099
419,-1,71.8849840255591,76.15894039735099,73.48242811501598,74.50331125827815
420,17,107.62070971495055,81.0580204778157,82.89703315881326,105.23321956769055
421,3,105.74494949494951,100.62893081761007,101.01010101010101,105.34591194968553
422,11,115.1560178306092,91.13652609006434,94.72511144130758,110.79342387419587
423,5,103.06406685236769,97.23788049605412,96.10027855153204,104.28410372040587
424,-1,110.24643320363165,112.37785016286645,111.86770428015565,110.74918566775244
428,20,104.9618320610687,70.46568627450979,73.15521628498728,101.10294117647058
430,-5,80.83832335329342,88.48230353929213,88.32335329341318,80.98380323935213
431,-2,100.12919896640827,102.04081632653062,103.35917312661498,98.85204081632654
432,-9,98.83073496659243,116.07661056297157,111.35857461024499,103.01799187463725
433,7,103.98359695371997,97.38283627510651,93.73169302870534,108.0340839926963
435,5,93.60599078341014,84.22234699606963,86.40552995391705,91.24087591240877
436,13,121.01534828807554,103.35530257639304,101.82998819362454,122.82804074295986
437,31,113.28125,70.74279939363315,72.91666666666667,109.90399191510865
439,10,92.84922394678493,80.37225042301183,78.9911308203991,94.47264523406656
441,-11,108.99653979238755,124.49528936742935,128.02768166089967,105.9892328398385
442,34,120.77294685990339,76.21121393576483,75.14761137949544,122.48230811105061
443,-3,108.32187070151306,105.97302504816955,113.48005502063275,101.15606936416184
446,-15,100.3747323340471,122.08355941399891,120.44967880085653,101.73629951166576
447,14,113.57562800641368,98.39246119733926,94.8690539818279,117.79379157427938
448,9,121.79487179487181,104.2963885429639,107.37179487179486,118.30635118306351
449,11,116.52542372881356,104.69543147208122,99.87893462469734,122.14467005076142
451,-3,111.61991986262166,116.04584527220632,115.91299370349171,111.74785100286533
452,34,119.4267515923567,75.5939524838013,74.3099787685775,121.4902807775378
454,21,130.04980630879913,103.45804988662131,100.99612617598228,133.21995464852608
457,24,108.24436536180309,69.7211155378486,72.65717674970344,103.87023335230508
459,8,107.59493670886076,90.85402786190187,94.9367088607595,102.96789824348878
461,10,109.11074740861977,93.23388385721897,95.4719039825423,106.55301012253598
463,-7,100.93622001170274,109.25819436457734,111.17612638970158,99.19493962047153
465,-8,95.16129032258065,111.14797611147975,108.06451612903226,97.87657597876576
466,12,113.20240043644301,92.6892950391645,96.83578832515003,108.35509138381201
467,-2,98.68421052631578,106.2874251497006,101.5446224256293,103.29341317365271
470,-5,93.59137055837563,104.30247718383312,101.5228426395939,96.15384615384616
471,26,127.67710049423393,90.54054054054053,91.98242723778144,125.67567567567568
474,11,99.39260077305356,85.38633818589027,84.2076200993926,100.78387458006719
476,33,124.5262587980509,81.76274944567628,79.85923118570656,127.49445676274944
477,3,102.04081632653062,94.22110552763819,98.11616954474097,97.98994974874373
478,22,113.75802997858673,86.25410733844468,84.31477516059958,116.37458926615551
480,-5,115.69731081926204,123.97991211550534,123.51469668542838,116.13308223477716
481,11,115.2832674571805,96.34225996080993,97.167325428195,114.30437622468975
483,17,106.56197420078522,78.41573631047316,82.72574312955695,101.01010101010101
488,18,126.52146060217811,99.090318388564,97.69378603459322,128.33008447043534
489,11,129.25790754257906,108.06074766355141,112.53041362530413,124.12383177570092
491,-14,89.57133717210493,113.19534282018111,111.96417146513116,90.55627425614489
494,-1,88.28722778104769,91.15361625821876,89.75868157739848,89.65929468021518
495,-15,81.49010477299186,100.45274476513863,103.31781140861467,79.23033389926428
496,26,107.6349024110218,66.79389312977099,70.32146957520091,102.23555070883314
498,-11,95.2914798206278,121.76325524044391,110.70627802690582,104.80887792848337
499,5,96.56652360515021,94.04828747894442,89.86051502145922,101.06681639528357
500,-8,100.46885465505693,115.80381471389647,113.86470194239786,102.17983651226159
501,-2,89.04479222881812,95.61304836895388,91.74311926605505,92.80089988751405
502,-3,96.15384615384616,104.16666666666667,100.59171597633136,99.57107843137256
503,14,98.4375,79.59714100064977,76.5625,102.3391812865497
506,-16,75.94167679222356,103.96975425330812,100.24301336573511,78.76496534341524
507,16,123.9021329987453,95.10869565217392,98.80803011292346,119.2632850241546
511,8,101.35135135135135,86.15819209039547,89.60047003525264,97.45762711864407
513,-5,104.28907168037603,119.64735516372798,111.63337250293772,111.77581863979849
514,-7,102.2884882108183,113.09115832762167,114.42441054091539,101.09664153529816
516,18,118.26347305389223,87.24256292906179,91.31736526946108,112.98627002288329
519,9,104.0410132689988,85.91065292096219,90.47044632086852,98.79725085910653
520,-14,74.48004496908376,93.94279304542906,94.15401911186059,74.31295569265284
522,8,86.72248803827752,71.63323782234957,74.76076555023924,83.0945558739255
524,-17,87.4794969928923,112.18836565096953,110.71623838162932,88.64265927977839
533,-3,94.99136442141622,101.05448154657293,99.30915371329878,96.66080843585237
535,7,115.40600667408232,105.20487264673312,105.67296996662958,114.89479512735328
536,-9,95.38461538461539,109.09649661954516,109.23076923076923,95.26736324523664
537,-4,100.29498525073748,108.10810810810811,106.19469026548674,102.10210210210211
538,-3,113.79551820728291,115.64625850340136,119.04761904761905,110.54421768707483
539,15,119.11764705882352,93.8566552901024,97.05882352941177,115.18771331058022
540,18,127.93176972281451,93.16770186335404,95.94882729211088,124.22360248447204
541,3,104.04454865181711,101.31108462455303,99.6483001172333,105.78069129916568
542,27,122.39902080783354,85.09955041746949,81.08935128518972,128.45215157353886
544,-7,101.97960407918416,115.24277811923787,112.47750449910016,104.48678549477566
548,6,108.75787063537494,103.91923990498813,100.17172295363481,112.82660332541568
549,31,136.25229638701776,90.3990024937656,88.79363135333742,138.71571072319202
550,18,104.5816733067729,76.47858599592114,74.7011952191235,107.07002039428959
551,-12,85.431654676259,103.60360360360362,103.41726618705036,85.58558558558559
553,13,111.29032258064515,96.15384615384615,90.32258064516128,118.47527472527473
555,-10,87.92302587923025,105.56300268096514,104.51227604512276,88.80697050938338
559,13,113.37209302325581,95.58823529411765,94.47674418604652,114.70588235294117
560,4,114.74908200734394,111.49497487437185,108.62913096695226,117.77638190954774
563,8,110.4053236539625,94.64181712288875,98.30611010284332,106.29004076878275
564,11,124.282982791587,101.82370820668693,106.75589547482474,118.54103343465046
565,14,104.40835266821347,81.50646430578978,84.10672853828306,101.1804384485666
567,9,115.33852606351107,99.41520467836257,101.85739964050329,112.57309941520465
568,-1,107.55653612796469,107.22041259500541,108.93546607832323,105.8631921824104
569,9,123.49588347055098,105.2471018913972,109.24635845471818,118.97498474679682
570,-15,96.69369931378664,122.06721623335449,120.08733624454149,98.28788839568801
571,16,132.09393346379647,110.16949152542372,106.00130463144161,137.28813559322032
572,-18,67.98516687268233,96.81449094316051,95.7972805933251,68.70705808869457
573,8,139.84018264840182,125.34818941504177,128.4246575342466,136.49025069637884
574,-1,96.89922480620154,101.06030483764081,98.5142118863049,99.40357852882704
576,24,128.76884422110552,88.25319537431527,91.08040201005025,124.77175897748023
577,12,112.82660332541568,95.4653937947494,95.01187648456057,113.3651551312649
578,4,120.415982484948,113.8211382113821,114.94252873563218,119.24119241192412
579,17,114.28571428571428,89.28571428571428,87.3015873015873,116.88311688311688
583,6,111.82598039215685,97.83878504672897,102.63480392156863,106.60046728971962
584,-8,91.22006841505132,105.57184750733137,102.62257696693273,93.84164222873899
587,5,113.22228006246746,101.03499260719566,106.71525247267049,107.19566288812223
588,-5,95.31590413943356,101.24190064794816,102.12418300653594,94.49244060475162
589,6,106.00130463144161,89.01629450814725,96.21656881930855,98.06879903439952
590,-5,79.56715467854869,95.35367545076284,87.52387014640355,86.68515950069349
591,15,118.08576755748912,94.1939468807906,94.77936606587943,117.35639283508337
592,-4,89.93743482794578,99.29270946681176,95.1511991657977,93.85201305767139
593,8,115.04424778761062,98.0392156862745,103.24483775811211,109.24369747899159
595,-13,78.44878626406158,99.87893462469734,97.69094138543517,80.20581113801452
596,-6,104.46479679450486,113.050944476245,113.050944476245,104.46479679450486
599,17,101.42543859649125,79.29883138564274,78.12500000000001,102.94936004451864
600,2,97.13375796178345,96.15384615384616,93.94904458598727,99.41329856584093
601,-18,101.21457489878543,130.10053222945004,127.24117987275882,103.48905972797162
602,1,104.69722693831352,102.012297372834,103.28239954725522,103.40972610396871
603,5,108.28025477707006,103.41431385423505,100.31847133757962,111.62179908076165
604,-15,92.4918389553863,113.264192139738,112.89445048966269,92.79475982532752
605,25,121.75754367390152,91.93194291986828,88.67125463208046,126.23490669593853
606,-2,101.16337885685383,101.33465150766187,103.69246332827518,98.86307464162135
607,3,117.05202312138726,113.8353765323993,112.71676300578035,118.21366024518389
608,10,110.92623405435384,95.62841530054644,97.06045479755961,109.28961748633878
610,22,116.38185032410135,78.77280265339967,83.97171479080731,109.1763405196241
612,-3,101.42857142857142,110.31604054859869,105.71428571428572,105.84376863446631
613,20,120.2961135101789,85.19388954171563,89.45095619987661,114.5710928319624
614,27,112.09439528023599,75.43103448275863,72.27138643067846,116.99507389162562
616,-2,115.36214953271026,114.92622020431327,118.28271028037382,112.08853575482405
620,25,121.654501216545,85.66978193146417,83.63746958637469,124.61059190031152
621,10,121.27410870835769,104.76463834672789,106.66277030976036,119.11595866819746
622,2,101.79640718562875,97.92284866468842,98.80239520958084,100.89020771513353
624,10,116.4179104477612,97.08737864077669,101.49253731343283,111.36493432324386
625,-1,99.00990099009901,98.32366215344939,100.66006600660067,96.71179883945842
628,13,119.35905820797907,98.4898227183191,98.10333551340746,119.82928430728825
629,16,99.65337954939342,77.75821596244133,76.54534950895436,101.2323943661972
630,3,94.7187141216992,92.32121922626027,90.41331802525832,96.71746776084409
633,14,97.79614325068871,75.59681697612731,78.51239669421489,94.16445623342175
635,15,103.86190754827385,83.0860534124629,81.91925102399064,105.34124629080117
636,17,106.46900269541779,86.68903803131992,83.55795148247978,110.4586129753915
637,19,110.61946902654869,87.94694348327566,84.34734513274337,115.34025374855825
638,6,102.34798314268514,91.98813056379821,93.31727874774232,100.89020771513353
